id,age
74051,7.41025641
74052,7.923076923
74053,10.56410256
74054,9.820512821
74055,7.564102564
74056,11.28205128
74057,11.12820513
74058,8.153846154
74059,11.74358974
74060,10.05128205
74061,13.02564103
74062,10.38461538
74063,4.307692308
74064,12.71794872
74065,5.41025641
74066,6.025641026
74067,11.12820513
74068,11.07692308
74069,10.76923077
74070,10.74358974
74071,15.53846154
74072,9.461538462
74073,8.230769231
74074,9.076923077
74075,12.41025641
74076,10
74077,12.92307692
74078,11.69230769
74079,9.820512821
74080,11.61538462
74081,10.69230769
74082,11.15384615
74083,10.56410256
74084,12.97435897
74085,11.33333333
74086,7.153846154
74087,10
74088,11.69230769
74089,8.256410256
74090,9.58974359
74091,8.153846154
74092,10.02564103
74093,10.33333333
74094,10.1025641
74095,16.23076923
74096,10.76923077
74097,6.256410256
74098,5.974358974
74099,13.46153846
74100,9.974358974
74101,11.35897436
74102,9.58974359
74103,11.8974359
74104,10.66666667
74105,8.743589744
74106,11.84615385
74107,10.07692308
74108,5.230769231
74109,10.28205128
74110,5.384615385
74111,10.53846154
74112,6.769230769
74113,8.282051282
74114,10.66666667
74115,9.58974359
74116,11.82051282
74117,13.05128205
74118,10.23076923
74119,9.512820513
74120,15.87179487
74121,10.20512821
74122,6.871794872
74123,12.23076923
74124,5.153846154
74125,7.487179487
74126,7.230769231
74127,10.41025641
74128,10.48717949
74129,9.307692308
74130,10.66666667
74131,11
74132,7.692307692
74133,9.487179487
74134,11.48717949
74135,4.461538462
74136,6.358974359
74137,5.641025641
74138,14.71794872
74139,11.12820513
74140,14.30769231
74141,9.615384615
74142,10.82051282
74143,13.48717949
74144,15.07692308
74145,11.35897436
74146,7.948717949
74147,9.897435897
74148,5.538461538
74149,10.51282051
74150,9.179487179
74151,8.692307692
74152,13.58974359
74153,12.33333333
74154,8.641025641
74155,6.358974359
74156,12.74358974
74157,10.97435897
74158,13.48717949
74159,9.923076923
74160,11.92307692
74161,10.38461538
74162,9.794871795
74163,10.79487179
74164,9.615384615
74165,10.20512821
74166,9.461538462
74167,11.07692308
74168,10.51282051
74169,11.92307692
74170,10.76923077
74171,12.74358974
74172,10.92307692
74173,7.41025641
74174,12.28205128
74175,10.41025641
74176,9.538461538
74177,11.12820513
74178,12.25641026
74179,13.15384615
74180,5.615384615
74181,8.256410256
74182,10.07692308
74183,7.384615385
74184,11.33333333
74185,12.61538462
74186,10.35897436
74187,9.769230769
74188,11.74358974
74189,5.769230769
74190,9.358974359
74191,10.20512821
74192,12.07692308
74193,9.333333333
74194,4.051282051
74195,11.61538462
74196,11.46153846
74197,10.25641026
74198,7.051282051
74199,9.948717949
74200,11.07692308
74201,9.230769231
74202,12.28205128
74203,10.92307692
74204,11.05128205
74205,9.871794872
74206,9.461538462
74207,9.384615385
74208,11.64102564
74209,16
74210,10.61538462
74211,7.128205128
74212,9.41025641
74213,10.76923077
74214,12.94871795
74215,8.58974359
74216,7.487179487
74217,14.56410256
74218,10.94871795
74219,8.128205128
74220,14.58974359
